ISO,Value_method_1,Value_method_2
AFG,28.63945661644911,60.300252339457344
ALB,71.75491190567152,81.41706215114928
DZA,56.55535462006473,72.55731676873553
AGO,38.19943602082583,61.94104544951503
ATG,57.60223093651142,74.59797193870298
ARG,69.74423160905374,83.73462244601757
ARM,66.15604576122206,79.8114277387706
AUS,68.03641460544645,82.58401865084514
AUT,79.49588761952455,87.94147693276432
AZE,66.80519719658064,81.25283018696454
BHS,62.52094581223266,77.96729183717372
BGD,58.46461709153181,76.50009910034436
BRB,63.52708808671954,79.28873015832703
BLR,77.55173321179696,87.71704817659653
BEL,81.82499225750686,89.94594973999216
BLZ,65.16265703994235,79.65363241089167
BEN,51.13821266519025,69.60274825386756
BOL,57.293959983537434,75.87098064037689
BIH,70.60776474596514,81.44734885771697
BWA,50.82151309670378,72.42562865170741
BRA,65.18244936816109,77.45608394044548
BGR,66.35241588786644,81.12154193012225
BFA,47.72326323259354,71.94705473450287
CPV,44.3558558817203,67.81553722916065
KHM,29.631367379056194,59.42030575346578
CMR,46.06112774269043,64.89859862525576
CAN,70.19041850215986,83.75686480405493
CAF,35.71804434541572,64.70707962273568
TCD,8.488174399060124,49.72331966286417
CHL,63.27415066953938,78.97620212785465
HKG,17.35775661327486,36.20164676364026
MAC,60.49212571916306,75.23615771762752
CHN,70.85195495264041,82.4613571166577
COL,67.77327428037741,81.09706173798187
COM,37.667523317383505,64.80478417383699
COG,39.30778959634136,64.66934687016308
CRI,60.69249077981878,76.19007055842344
HRV,69.72489304987688,82.82728034958609
CUB,65.80922082409937,78.70248110048982
CYP,56.15625392074873,74.65355543180331
CZE,73.5559271647575,85.63237131149418
CIV,53.11925195659072,72.68504344017997
PRK,47.253660271597475,69.9141763709992
DNK,67.0333846016685,82.05116851183425
DJI,35.40591921951731,64.4793584186571
DMA,52.9777797819364,64.91825904228263
DOM,69.43835568218752,81.47376078202463
ECU,56.30609208429388,76.26510878594394
EGY,58.90467356199376,75.44889057617816
SLV,61.27690862525591,79.04567512743937
EST,77.63575182309889,88.06532483720329
SWZ,49.57771077437717,71.79621519236349
ETH,35.24846985574293,65.49250599407904
FJI,57.42975808326991,76.14149463223406
FIN,75.74910272281187,86.39507506010631
FRA,64.96130838517483,80.70084322649012
PYF,63.71627018988458,79.21864686908893
GAB,46.18851566552753,65.18447873986321
GMB,19.43173618680034,56.53455687544313
GEO,58.46310970277452,77.69512288296018
DEU,76.69954992110019,86.92885074337089
GHA,48.095129752172866,62.44946585482472
GRC,55.49992863884362,74.25635913035576
GRD,67.47837855186248,78.9698617510663
GTM,49.97074311707621,72.57242879470009
GIN,39.19722059796582,63.61597385224293
GNB,26.46352800940062,58.791082432106364
GUY,72.91875310717519,83.68407597130008
HTI,33.95364740325541,59.9676178819534
HND,50.73163940476983,74.02856494492175
HUN,65.69849971709615,81.6748388591397
ISL,75.93433622649681,87.64335221043012
IND,65.94543978407552,80.57198747927492
IDN,50.33474477333653,72.42755987092796
IRN,67.09900837356133,80.11144329562518
IRQ,16.020906310691544,51.29339318706204
IRL,75.87333882922707,87.54148383262583
ISR,56.87132390736848,76.63800579175634
ITA,76.71574361773548,87.41781426799402
JAM,60.703267998590505,75.7868356468546
JPN,67.75916165258843,81.93748955726213
JOR,40.94215147024746,65.04208444626059
KAZ,73.67129574087984,84.62638882898949
KEN,44.78832750805811,69.00816985513755
KIR,51.28813062029,71.07861268672676
KWT,55.66819375924467,72.42293820276903
KGZ,68.01850823295722,82.52202326393558
LAO,64.35322511674738,79.17408705815073
LVA,74.05989310162948,86.2035923101612
LBN,48.73046234600105,70.99437868659756
LSO,39.79476092981999,67.2305904098988
LBR,28.010708936506706,58.862745542309796
LTU,74.57836933540405,85.8504117173369
LUX,75.1585956193698,86.78528457140243
MDG,22.893827735429426,57.36183507313975
MWI,48.2034419210475,69.81102122253216
MYS,1.0,49.79445343776459
MDV,45.24601276038259,67.82011930902031
MLI,54.77785288656057,74.07277387277097
MLT,56.772393450073736,74.11663509512168
MRT,38.70847247951026,65.5442609805067
MUS,50.38517176143129,72.42249936613584
MEX,59.39782686674473,76.54279877925904
MNG,64.50290878617199,81.20229336319628
MNE,67.19363443391737,79.60813947551577
MAR,59.11249783625198,76.47481132194616
MOZ,17.209338370852247,55.358377665628296
MMR,50.66382247462018,73.16445509573775
NAM,47.03170646042833,68.58798208160553
NPL,58.89738258910643,75.0559991392474
NLD,79.16836941883851,88.65595380120467
NCL,57.085479459837714,74.54140066644062
NZL,76.97947254656961,87.83581959050903
NIC,46.096540781844205,69.83606777222232
NER,34.020545186577216,61.06190026067904
NGA,19.67125194438881,55.20327085323977
MKD,67.3262592789523,79.6992143442144
NOR,76.93900321489076,87.35290828202258
OMN,61.19494883600936,77.47046282521556
PAK,53.985528027350966,74.42161617389753
PAN,63.9603081533609,80.70919189690258
PNG,61.852995565769696,77.53992148204946
PRY,63.18497806078108,78.51399222914517
PER,57.49273558300085,73.15074523538533
PHL,48.82957979107915,72.49723862414925
POL,77.77150983164965,87.48861378753253
PRT,71.5374855237665,83.6936769697752
KOR,66.11465928027496,79.46651164534791
MDA,58.91095144824428,77.30580683347475
ROU,81.40294626209439,89.9347818155857
RUS,82.4482566664314,90.33992559001663
RWA,33.01726928237275,61.768395469702135
KNA,54.31014146704275,74.01628883472354
LCA,45.35738274639598,64.61128035362727
VCT,62.354710054867105,76.886305959205
WSM,66.73746012169269,79.86084033369728
STP,44.71180957964536,65.35272935437459
SAU,43.670487922844494,68.14684570501784
SEN,29.201056759774634,61.32515323599844
SRB,72.6287510657511,84.82613733275291
SYC,58.29272232212109,75.021985001237
SLE,29.968236335671513,59.89362347722526
SVK,65.78512801627775,81.41849764505679
SVN,72.89716559730053,80.74376526653084
SLB,57.36680883369037,75.78111216443023
ZAF,67.59848920893165,81.52368113935715
ZAF,67.59848920893165,78.43200599259251
ZAF,61.4667350199825,81.52368113935715
ZAF,61.4667350199825,78.43200599259251
ESP,71.92066196819653,84.14787366604583
LKA,51.78407769102625,71.89788895295459
SDN,44.262261376719565,67.99081919257253
SUR,55.94861022286329,74.38488576413067
SWE,72.41846239535143,84.98092967280826
CHE,70.44611306036465,84.22501496595737
TJK,51.36160993940769,72.5259684525536
THA,59.493268314987255,78.39792396093597
TLS,29.43870551892041,62.196397517964314
TGO,36.01204712413074,63.7772380543382
TTO,57.31610150596097,76.26817576773965
TUN,63.89191606900943,78.35352941660344
TUR,66.73950278012495,79.19354082698351
TKM,64.67538025425998,79.97407556802031
UGA,46.5774260606834,71.36840317656925
UKR,72.28006419864046,84.35071376229334
ARE,44.143277682302475,63.82878781618975
GBR,76.4620038130117,87.1841813810251
TZA,39.60512492192725,65.46302959067623
USA,68.80430987973094,82.66251933713826
URY,68.26192113663086,82.1387329302396
UZB,72.17294431783179,84.46484064515536
VUT,55.281167599577245,73.21492073927863
VEN,48.76789488321345,71.24380070386115
VNM,62.04338723386843,78.03418926244916
YEM,11.065377046034714,52.662035474212104
ZMB,36.45360152409995,65.83927581304101
ZWE,13.571690957211578,53.815243133191245
