,ISO,Year,SL1_GGGI
0,AFG,2019,17.37
1,ALA,2019,51.61
2,ALB,2019,100.97
3,DZA,2019,12.55
4,ASM,2019,83.42
5,AND,2019,140.25
6,AGO,2019,34.31
7,AIA,2019,90.87
8,ATG,2019,108.56
9,ARG,2019,50.23
10,ARM,2019,122.35
11,ABW,2019,45.51
12,AUS,2019,29.48
13,AUT,2019,93.35
14,AZE,2019,53.42
15,BHS,2019,11.34
16,BHR,2019,14.66
17,BGD,2019,73.76
18,BRB,2019,74.81
19,BLR,2019,66.03
20,BEL,2019,79.34
21,BLZ,2019,104.2
22,BEN,2019,32.02
23,BMU,2019,141.19
24,BTN,2019,86.28
25,BOL,2019,53.24
26,BES,2019,73.49
27,BIH,2019,70.69
28,BWA,2019,16.45
29,BRA,2019,41.96
30,BRN,2019,229.23
31,BGR,2019,46.63
32,BFA,2019,24.3
33,BDI,2019,72.62
34,CPV,2019,68.74
35,KHM,2019,48.79
36,CMR,2019,64.27
37,CAN,2019,92.48
38,CYM,2019,174.02
39,CAF,2019,47.27
40,TCD,2019,14.61
41,CHI,2019,
42,CHL,2019,107.95
43,CHN,2019,48.72
44,COL,2019,56.05
45,COM,2019,130.86
46,COD,2019,53.68
47,COG,2019,71.19
48,COK,2019,193.65
49,CRI,2019,86.48
50,CIV,2019,37.02
51,HRV,2019,100.27
52,CUB,2019,46.59
53,CUW,2019,61.12
54,CYP,2019,35.19
55,CZE,2019,73.08
56,DNK,2019,101.91
57,DJI,2019,23.94
58,DMA,2019,163.05
59,DOM,2019,79.65
60,ECU,2019,73.83
61,EGY,2019,13.89
62,SLV,2019,63.12
63,GNQ,2019,90.53
64,ERI,2019,16.64
65,EST,2019,87.26
66,ETH,2019,49.58
67,FRO,2019,367.02
68,FLK,2019,174.67
69,FJI,2019,152.37
70,FIN,2019,75.23
71,FRA,2019,67.73
72,GUF,2019,22.69
73,PYF,2019,162.6
74,GAB,2019,81.43
75,GMB,2019,49.91
76,GEO,2019,126.35
77,DEU,2019,77.3
78,GHA,2019,36.93
79,GIB,2019,61.54
80,GRC,2019,46.84
81,GRL,2019,16.88
82,GRD,2019,116.27
83,GLP,2019,140.41
84,GUM,2019,54.99
85,GTM,2019,96.71
86,GGY,2019,77.59
87,GIN,2019,49.24
88,GNB,2019,45.81
89,GUY,2019,28.77
90,HTI,2019,72.59
91,VAT,2019,41.82
92,HND,2019,104.09
93,HKG,2019,38.47
94,HUN,2019,47.97
95,ISL,2019,162.98
96,IND,2019,26.31
97,IDN,2019,121.43
98,IRN,2019,18.3
99,IRQ,2019,28.0
100,IRL,2019,167.22
101,IMN,2019,118.41
102,ISR,2019,14.69
103,ITA,2019,58.23
104,JAM,2019,51.87
105,JPN,2019,72.63
106,JEY,2019,79.73
107,JOR,2019,15.3
108,KAZ,2019,44.98
109,KEN,2019,40.63
110,KIR,2019,247.77
111,PRK,2019,115.9
112,KOR,2019,101.77
113,XKX,2019,
114,KWT,2019,12.66
115,KGZ,2019,76.49
116,LAO,2019,72.65
117,LVA,2019,77.14
118,LBN,2019,57.93
119,LSO,2019,89.37
120,LBR,2019,50.27
121,LBY,2019,13.86
122,LIE,2019,129.85
123,LTU,2019,66.39
124,LUX,2019,98.55
125,MAC,2019,38.54
126,MKD,2019,83.13
127,MDG,2019,69.68
128,MWI,2019,38.88
129,MYS,2019,116.82
130,MDV,2019,194.35
131,MLI,2019,16.56
132,MLT,2019,56.74
133,MHL,2019,270.06
134,MTQ,2019,122.53
135,MRT,2019,13.41
136,MUS,2019,111.44
137,MYT,2019,97.23
138,MEX,2019,36.64
139,FSM,2019,165.29
140,MDA,2019,55.78
141,MCO,2019,62.0
142,MNG,2019,52.56
143,MNE,2019,145.27
144,MSR,2019,122.37
145,MAR,2019,29.15
146,MOZ,2019,49.67
147,MMR,2019,53.01
148,NAM,2019,20.28
149,NRU,2019,193.64
150,NPL,2019,60.46
151,NLD,2019,89.4
152,NCL,2019,116.29
153,NZL,2019,89.33
154,NIC,2019,49.07
155,NER,2019,13.21
156,NGA,2019,29.64
157,NIU,2019,179.79
158,NFK,2019,137.36
159,MNP,2019,126.08
160,NOR,2019,130.54
161,OMN,2019,15.75
162,PAK,2019,33.48
163,PLW,2019,172.66
164,PSE,2019,38.97
165,PAN,2019,36.94
166,PNG,2019,183.76
167,PRY,2019,34.42
168,PER,2019,78.25
169,PHL,2019,47.34
170,PCN,2019,210.69
171,POL,2019,56.86
172,PRT,2019,52.25
173,PRI,2019,63.48
174,QAT,2019,14.19
175,REU,2019,198.01
176,ROU,2019,52.97
177,RUS,2019,90.54
178,RWA,2019,88.85
179,BLM,2019,95.97
180,SHN,2019,196.08
181,KNA,2019,101.76
182,LCA,2019,114.67
183,MAF,2019,94.18
184,SPM,2019,185.37
185,VCT,2019,130.89
186,WSM,2019,151.6
187,SMR,2019,34.54
188,STP,2019,154.9
189,SAU,2019,14.02
190,SEN,2019,20.5
191,SRB,2019,85.45
192,SYC,2019,143.12
193,SLE,2019,59.57
194,SGP,2019,233.71
195,SMX,2019,
196,SVK,2019,65.65
197,SVN,2019,109.33
198,SLB,2019,157.81
199,SOM,2019,30.23
200,ZAF,2019,34.68
201,ESP,2019,47.41
202,LKA,2019,127.42
203,SDN,2019,10.86
204,SSD,2019,40.78
205,SUR,2019,26.47
206,SJM,2019,18.52
207,SWZ,2019,90.74
208,SWE,2019,62.4
209,CHE,2019,88.52
210,SYR,2019,31.73
211,TWN,2019,130.25
212,TJK,2019,50.68
213,TZA,2019,40.96
214,THA,2019,58.73
215,TLS,2019,91.12
216,TGO,2019,35.77
217,TKL,2019,384.59
218,TON,2019,175.09
219,TTO,2019,26.32
220,TUN,2019,15.16
221,TUR,2019,35.62
222,TKM,2019,11.4
223,TCA,2019,177.28
224,TUV,2019,289.29
225,UGA,2019,52.94
226,UKR,2019,73.27
227,ARE,2019,14.22
228,GBR,2019,104.54
229,USA,2019,59.27
230,URY,2019,34.39
231,UZB,2019,14.42
232,VUT,2019,143.67
233,VEN,2019,49.33
234,VNM,2019,33.28
235,VGB,2019,135.53
236,VIR,2019,71.51
237,WLF,2019,168.05
238,ESH,2019,15.69
239,YEM,2019,15.96
240,ZMB,2019,36.24
241,ZWE,2019,27.97
